"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Plano","TX","1600000US4858016","Chandler, AZ","Arlington, TX","Lincoln, NE","St. Petersburg, FL","Cincinnati, OH"
"Pomona","CA","1600000US0658072","Garden Grove, CA","Glendale (CA), CA","Salinas, CA","Modesto, CA","Oxnard, CA"
"Ponce","PR","1600000US7263820","Palm Bay, FL","Gainesville, FL","Wilmington (NC), NC","Savannah, GA","Columbia (SC), SC"
"Port St. Lucie","FL","1600000US1258715","Cape Coral, FL","Tallahassee, FL","Columbus (GA), GA","Durham, NC","Grand Prairie, TX"
"Portland (ME)","ME","1600000US2360545","Manchester, NH","Burlington, VT","Waterbury, CT","Hampton, VA","Mesquite, TX"
"Portland (OR)","OR","1600000US4159000","Sacramento, CA","Las Vegas, NV","Denver, CO","Fresno, CA","Detroit, MI"
"Providence","RI","1600000US4459000","Rochester (NY), NY","Hialeah, FL","Bayam<U+0086>n, PR","Carolina, PR","Pomona, CA"
"Provo","UT","1600000US4962470","West Valley City, UT","Lakewood, CO","Visalia, CA","Vallejo, CA","McAllen, TX"
"Pueblo","CO","1600000US0862000","Wichita Falls, TX","Topeka, KS","Abilene, TX","Kansas City (KS), KS","Dayton, OH"
"Raleigh","NC","1600000US3755000","Atlanta, GA","Omaha, NE","Albuquerque, NM","Mesa, AZ","El Paso, TX"
"Rancho Cucamonga","CA","1600000US0659451","Fontana, CA","Corona, CA","Santa Rosa, CA","Tacoma, WA","Aurora (IL), IL"
"Reno","NV","1600000US3260600","North Las Vegas, NV","Lancaster, CA","Palmdale, CA","Peoria (AZ), AZ","Amarillo, TX"
"Richmond (CA)","CA","1600000US0660620","Vallejo, CA","Visalia, CA","Fairfield, CA","West Valley City, UT","Mesquite, TX"
"Richmond (VA)","VA","1600000US5167000","Akron, OH","Baton Rouge, LA","Laredo, TX","Spokane, WA","San Bernardino, CA"
"Riverside","CA","1600000US0662000","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"Rochester (MN)","MN","1600000US2754880","Joliet, IL","Cedar Rapids, IA","Davenport, IA","Midland, TX","Charleston (SC), SC"
