"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Reno","NV","1600000US3260600","Lancaster, CA","North Las Vegas, NV","Palmdale, CA","Boise City, ID","Elk Grove, CA"
"Richmond (CA)","CA","1600000US0660620","Vallejo, CA","Visalia, CA","Antioch, CA","Fairfield, CA","Roseville, CA"
"Richmond (VA)","VA","1600000US5167000","Chesapeake, VA","Durham, NC","Fayetteville, NC","Winston-Salem, NC","Akron, OH"
"Riverside","CA","1600000US0662000","Anaheim, CA","Santa Ana, CA","Corona, CA","Fontana, CA","Garden Grove, CA"
"Rochester (MN)","MN","1600000US2754880","Joliet, IL","Cedar Rapids, IA","Davenport, IA","Fargo, ND","Olathe, KS"
"Rochester (NY)","NY","1600000US3663000","Akron, OH","Springfield (MA), MA","Worcester, MA","Yonkers, NY","Alexandria, VA"
"Rockford","IL","1600000US1765000","Aurora (IL), IL","Des Moines, IA","Grand Rapids, MI","Madison, WI","Ann Arbor, MI"
"Roseville","CA","1600000US0662938","Antioch, CA","Fairfield, CA","Simi Valley, CA","Richmond (CA), CA","Vallejo, CA"
"Sacramento","CA","1600000US0664000","Fresno, CA","Oakland, CA","Bakersfield, CA","San Francisco, CA","Stockton, CA"
"Salem","OR","1600000US4164900","Boise City, ID","Vancouver, WA","Eugene, OR","Hayward, CA","Spokane, WA"
